HokinRight_Hand
Dev2/ai0 Dev2/ai1
[-8.43403688e-05 -1.33374168e-03  1.69204498e+09]
[-6.23078140e-02 -1.58033404e-03  1.69204498e+09]
[-1.41020099e-01 -6.59722551e-04  1.69204498e+09]
[-1.83976490e-01  2.24213226e-02  1.69204498e+09]
[-1.98180211e-01  1.25924355e-01  1.69204498e+09]
[-2.26949322e-01  2.30200038e-01  1.69204498e+09]
[-2.61209223e-01  2.96615574e-01  1.69204498e+09]
[-3.01601054e-01  3.54038708e-01  1.69204498e+09]
[-3.28216592e-01  4.08765763e-01  1.69204498e+09]
[-3.29745465e-01  4.43781872e-01  1.69204498e+09]
[-3.29120764e-01  4.57821194e-01  1.69204498e+09]
[-3.36354140e-01  4.55799137e-01  1.69204498e+09]
[-3.35976032e-01  4.65629950e-01  1.69204498e+09]
[-3.33132000e-01  4.81954361e-01  1.69204498e+09]
[-3.41450383e-01  5.17184181e-01  1.69204498e+09]
[-3.59879053e-01  5.62179055e-01  1.69204498e+09]
[-3.77058323e-01  5.85966991e-01  1.69204498e+09]
[-3.98988605e-01  5.93052410e-01  1.69204498e+09]
[-4.19916078e-01  5.96554020e-01  1.69204498e+09]
[-4.39363997e-01  5.87660258e-01  1.69204498e+09]
[-4.42684775e-01  5.77665051e-01  1.69204498e+09]
[-4.40892870e-01  5.66551958e-01  1.69204498e+09]
[-4.43325915e-01  5.55027879e-01  1.69204498e+09]
[-4.55918566e-01  5.42122882e-01  1.69204498e+09]
[-4.61721707e-01  5.37306113e-01  1.69204498e+09]
[-4.69201676e-01  5.39821354e-01  1.69204498e+09]
[-4.81892963e-01  5.46101238e-01  1.69204498e+09]
[-4.87285117e-01  5.60189877e-01  1.69204498e+09]
[-5.10168890e-01  5.74870338e-01  1.69204498e+09]
[-4.86068594e-01  5.68195907e-01  1.69204498e+09]
[-4.91115518e-01  5.65466952e-01  1.69204498e+09]
[-4.91904614e-01  5.62211934e-01  1.69204498e+09]
[-4.83816384e-01  5.50194670e-01  1.69204498e+09]
[-4.74034886e-01  5.39788475e-01  1.69204498e+09]
[-4.21560028e-01  5.30516605e-01  1.69204498e+09]
[-4.09460561e-01  5.11561877e-01  1.69204498e+09]
[-4.15214384e-01  5.03424331e-01  1.69204498e+09]
[-4.00188688e-01  5.05429948e-01  1.69204498e+09]
[-3.91015451e-01  5.01747503e-01  1.69204498e+09]
[-3.75151342e-01  4.96075880e-01  1.69204498e+09]
[-3.38885822e-01  4.97407479e-01  1.69204498e+09]
[-3.12631953e-01  4.90930321e-01  1.69204498e+09]
[-3.13667641e-01  4.88053411e-01  1.69204498e+09]
[-2.98724143e-01  4.69937096e-01  1.69204498e+09]
[-3.05332819e-01  4.58330818e-01  1.69204498e+09]
[-3.09935877e-01  4.62424250e-01  1.69204498e+09]
[-3.24451948e-01  4.60369314e-01  1.69204498e+09]
[-3.44820479e-01  4.57936270e-01  1.69204498e+09]
[-3.45067071e-01  4.49913801e-01  1.69204498e+09]
[-3.35893835e-01  4.38932223e-01  1.69204498e+09]
[-3.06730176e-01  3.66861509e-01  1.69204498e+09]
[-3.01601054e-01  3.50833007e-01  1.69204498e+09]
[-2.69182376e-01  3.56866300e-01  1.69204498e+09]
[-2.23398391e-01  3.54153784e-01  1.69204498e+09]
[-2.18598060e-01  3.54548332e-01  1.69204498e+09]
[-2.13074391e-01  3.51490587e-01  1.69204498e+09]
[-2.21129742e-01  3.49715122e-01  1.69204498e+09]
[-2.29415245e-01  3.49353454e-01  1.69204498e+09]
[-2.34593685e-01  3.47314957e-01  1.69204498e+09]
[-2.48600132e-01  3.52016651e-01  1.69204498e+09]
[-2.66124631e-01  3.62488605e-01  1.69204498e+09]
[-2.90372881e-01  3.79651430e-01  1.69204498e+09]
[-3.06976768e-01  3.96633421e-01  1.69204498e+09]
[-3.33625185e-01  4.32553702e-01  1.69204498e+09]
[-3.69956462e-01  4.85554609e-01  1.69204498e+09]
[-3.95256840e-01  5.19008964e-01  1.69204498e+09]
[-4.20984645e-01  5.29628872e-01  1.69204498e+09]
[-4.41435373e-01  5.42385914e-01  1.69204498e+09]
[-4.62691637e-01  5.59811769e-01  1.69204498e+09]
[-4.79048931e-01  6.00828286e-01  1.69204498e+09]
[-4.90573015e-01  6.38951453e-01  1.69204498e+09]
[-5.02688921e-01  6.49669997e-01  1.69204498e+09]
