HokinLeft_Hand
Dev2/ai0 Dev2/ai1
[-6.01899659e-03 -2.76397739e-03  1.69204177e+09]
[-5.90392016e-03 -2.66534044e-03  1.69204177e+09]
[-5.69020677e-03 -2.69821942e-03  1.69204177e+09]
[-4.86823223e-03 -2.73109841e-03  1.69204177e+09]
[-3.42155702e-03 -2.79685637e-03  1.69204177e+09]
[-8.43560176e-03 -2.71465892e-03  1.69204177e+09]
[-1.98939270e-02 -2.68177993e-03  1.69204177e+09]
[-3.52484116e-02 -2.69821942e-03  1.69204177e+09]
[-5.99405273e-02 -2.69821942e-03  1.69204177e+09]
[-8.97288855e-02 -2.78041688e-03  1.69204177e+09]
[-1.12497581e-01 -2.76397739e-03  1.69204177e+09]
[-1.24366894e-01 -2.81329586e-03  1.69204177e+09]
[-1.23857270e-01 -2.81329586e-03  1.69204177e+09]
[-1.17708900e-01 -2.86261433e-03  1.69204177e+09]
[-8.39257451e-02 -2.89549332e-03  1.69204177e+09]
[-2.91822394e-02 -2.82973535e-03  1.69204177e+09]
[-5.75596474e-03 -2.82973535e-03  1.69204177e+09]
[-3.50375448e-03 -2.82973535e-03  1.69204177e+09]
